insert into orderline(OL_NO, Order_No, item_no, quantity) Values (51, 10, 21, 50);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (02, 11, 22, 60);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (03, 12, 23, 40);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (04, 13, 24, 30);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (05, 14, 25, 7000);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (06, 15, 26, 01);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (07, 16, 27, 01);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (08, 17, 28, 10);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (09, 18, 29, 10);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (10, 19, 31, 50);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (11, 20, 32, 50);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values 012, 21, 33, 46);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (13, 22, 34, 35);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (14, 23, 35, 35);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (15, 24, 36, 55);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (16, 25, 37, 55);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (17, 26, 38, 55);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (18, 27, 39, 55);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (19, 28, 40, 29);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (20, 29, 41, 23);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (21, 30, 42, 99);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (22, 31, 43, 88);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (23, 32, 44, 88);
insert into orderline(OL_NO, Order_No, item_no, quantity) Values (24, 33, 45, 54);
